Sportart 	olympisch 	Typ 	Teamgröße 	Ort der Ausübung 	Herkunft/Verbreitung
Line Dance 	nein 	Tanzsport 			Vereinigte Staaten
Loheland-Gymnastik 	nein 	Turnsport 	1 		
Longaméta 	nein 	Schlagballspiel 		Rasen 	Ungarn
Luftkissen-Schlitteln 	nein 	Schlittensport 	1 	Schnee 	Europa
Luta Livre 	nein 	Kampfsport 	1 	Matte 	Brasilien
Maculelê 	nein 	Kampfsport, Tanzsport 	1 		Brasilien
Merkball 	nein 	Fangspiel 	1 		
Mesoamerikanisches Ballspiel 	nein 	Torspiel 			Lateinamerika (indianisch)
Minigolf 	nein 	Präzisionssport 	1 	Anlage 	Schweiz
Mittelstreckenlauf 	ja (seit 1896) 	Leichtathletik 	1 	Rennbahn 	
Mixed-Klettern 	nein 	Bergsport 		Gelände 	
Moderne Schwertkunst 	nein 	Kampfsport 	1 		Europa
Moderner Fünfkampf 	ja (seit 1912) 	Mehrkampfsport 	1 	Außenanlage 	
Mölkky 	nein 	Geschicklichkeitssport 	1 und mehr 	Rasen / Sand 	Finnland
Monoski 	nein 	Brettsport 	1 	Schnee 	
Motoball 	nein 	Motorsport, Torspiel 	5 	Hartbelag 	Deutschland, Frankreich, Niederlande, Russland, Ukraine, Weißrussland
Motorbootsport 	ehemalig (1908) 	Motorsport 		Wasser 	
Motorradsport 	nein 	Motorsport 	1-2 	Rennstrecke 	
Mountainbike 	ja (seit 1996) 	Radsport 	1 	Gelände 	
Mountainbike-Orienteering 	nein 	Radsport 	1 	Gelände 	
Muay Thai 	nein 	Kampfsport 			Thailand
Mühle 	nein 	Denksport 	2 		
Naginata 	nein 	Kampfsport 	1-5 	Halle 	Japan
Naturbahnrodeln 	nein 	Schlittensport 	1-2 	Eis 	
Netball 	nein 	Torspiel 	7 	Hartplatz 	Australien, Neuseeland, Südafrika
Nippers 	nein 	Geschwindigkeitssport 	1 	Wasser 	Australien
Nordic Walking 	nein 	Natursport 	1 	Gelände 	
Nordische Kombination 	ja (seit 1924) 	Mehrkampfsport 	1 	Schnee 	Skandinavien
Novuss 	nein 	Präzisionssport 	1-2 	Tisch 	Lettland
Oina 	nein 	Schlagballspiel 	11 	Rasen 	Rumänien
Öl-Ringkampf 	nein 	Kampfsport 	1 		Türkei
Orientalischer Tanz 	nein 	Tanzsport 	1 und mehr 		Ägypten
Orientierungslauf 	nein 	Geschwindigkeitssport 	1-3 	Gelände 	
Orientierungstauchen 	nein 	Tauchsport 	1 	Wasser 	
Paintball 	nein 	Fangspiel 	2 und mehr 	Gelände 	Vereinigte Staaten
Pall Mall 	nein 	Präzisionssport 	1 		Europa
Palla eh! 	nein 	Rückschlagspiel 	3-5 	Straße 	Toskana
Pankration 	antik 	Kampfsport 	1 	Stadion 	Griechenland
Parkour 	nein 	Springen, Körperkontrolle 	1 	Stadt, Gelände 	Frankreich
Pato 	nein 	Torspiel 		Rasen 	Argentinien
Pelota 	ehemalig (1900) 	Rückschlagspiel 	1-7 	Hartbelag 	Baskenland, Mittelamerika (indianisch)
Penspinning 	nein 	Geschicklichkeitssport 	1 		Asien
Pentathlon 	antik 	Mehrkampfsport 	1 		Antike
Pesäpallo 	nein 	Schlagballspiel 	9 	Rasen 	Finnland
Pétanque 	nein 	Präzisionssport, Kugelsport 	1-3, oder mehrere Formationen 	Boulodrome 	
Pferderennen 	nein 	Tiersport (Pferdesport) 	1 		
Pilates 	nein 	Kraftsport 	1 		
Platzgen 	nein 	Präzisionssport 	1 		Schweiz
Plinking 	nein 	Schießsport 	1 		
Poker 	nein 	Denksport 	1 		
Polo 	ehemalig (von 1900 bis 1936*) 	Tiersport (Pferdesport), Torspiel 	4 	Rasen 	
Polocrosse 	nein 	Tiersport (Pferdesport), Torspiel 	3 	Rasen 	Australien
Pontoniersport 	nein 	Bootssport 	2-4 	Wasser 	Schweiz
Poolbillard 	nein 	Präzisionssport 	1 und mehr 	Tisch 	
Prellball 	nein 	Rückschlagspiel 	3-4 	Hartbelag 	Deutschland
Pultstockspringen/Klotstockspringen 	nein 	Natursport 	1 	Gelände 	Niederlande/Niedersachsen/Schleswig-Holstein
Quidditch 	nein 	Torspiel 	6/7 	Rasen 	Vereinigte Staaten
Racketlon 	nein 	Rückschlagspiel, Mehrkampfsport 	1-2 	Hartbelag 	Skandinavien
Rackets 	ehemalig (1908) 	Rückschlagspiel 	1-2 	Hartbelag 	England
Racquetball 	nein 	Rückschlagspiel 	1-3 	Hartbelag 	Vereinigte Staaten
Radball 	nein 	Radsport, Torspiel 	2-5 	Hartbelag 	
Radpolo 	nein 	Radsport, Torspiel 	2 	Hartbelag 	
Radsport 	ja (seit 1896) 	Radsport 	1 		
Rafting 	nein 	Bootssport, Natursport 	4-12 	Wasser 	
Raketenmodellsport 	nein 	Modellsport 		Luft (vom Boden aus) 	Osteuropa
Rallye 	nein 	Motorsport 	2 	Straßen/Wege 	
Rasenkraftsport 	nein 	Mehrkampfsport, Kraftsport 	1 		
Rasenmähertreckerrennen 	nein 	Motorsport 	meist 1 	Wiese, Acker 	Europa, Vereinigte Staaten
Red Bull Air Race Series 	nein 	Luftsport 	1 	Luft 	
Reifenrodeln 	nein 	Schlittensport 	1 und mehr 	Schnee 	
Reiten 	ja (seit 1900*) 	Tiersport (Pferdesport) 	1 	Anlage 	
Rennrodeln 	ja (seit 1964) 	Schlittensport 	1-2 	Eis 	
Rettungssport 	nein 	Geschwindigkeitssport 	1 	Wasser 	
Rhönradturnen 	nein 	Turnsport 	1-2 	Hartbelag 	Deutschland
Rhythmische Sportgymnastik 	ja (seit 1984) 	Turnsport, Tanzsport 	1 		Russland
Ricochet 	nein 	Rückschlagspiel 	1 	Hartbelag 	
Ringen 	ja (von 1896*) 	Kampfsport, Kraftsport 	1 	Matte 	Antike, Griechenland
Ringette 	nein 	Torspiel 	6 	Eis 	Kanada
Ringreiten 	nein 	Tiersport (Pferdesport), Präzisionssport 	1 		Dänemark, Norddeutschland
Ringtennis 	nein 	Rückschlagspiel 	1-2 	Hartbelag 	
Rinkball 	nein 	Torspiel 		Eis 	
Roboterfußball 	nein 	Maschinensport 	0 		
Rock ’n’ Roll (Tanz) 	nein 	Tanzsport 	2 		Vereinigte Staaten
Rodeo 	nein 	Jagdsport, Tiersport 		Gelände 	Brasilien, Vereinigte Staaten
Rollhockey 	ehemalig (1992) 	Torspiel 	5 	Hartbelag 	Südeuropa
Rollkunstlauf 	nein 	Tanzsport, Akrobatik 	1 		
Rollstuhlbasketball 	nein 	Torspiel, Rollstuhlsport 	5 	Hartbelag 	
Rollstuhlrugby 	nein 	Torspiel, Rollstuhlsport 		Hartbelag 	
Rollstuhltanz 	nein 	Tanzsport 	2 und mehr 	Halle 	Schweden
Roque 	ehemalig (1904) 	Präzisionssport 	1 	Hartbelag 	
Round Dance 	nein 	Tanzsport 	2 und mehr 		Vereinigte Staaten
Rounders 	nein 	Schlagballspiel 		Rasen 	Großbritannien
Rudern 	ja (seit 1900) 	Bootssport 	1-9 	Wasser 	
Rugby League 	nein 	Torspiel 	13 	Rasen 	England
Rugby Union 	ehemalig (von 1900 bis 1924*) 	Torspiel 	15 	Rasen 	England
Rundbold 	nein 	Schlagballspiel 		Rasen 	Dänemark
Russisches Kegeln 	nein 	Präzisionssport, Kegelsport 	1 		
Savate 	nein 	Kampfsport 		Ring 	Frankreich
Segwaypolo 	nein 	Torspiel 	5 	Rasen 	Vereinigte Staaten
Sandbahnrennen 	nein 	Motorsport 	1 	Sand 	
Sandboarding 	nein 	Brettsport 	1 	Sand (Gelände) 	
Schach 	nein 	Denksport 	8, 4(Mannschaft) oder 2(Tandem) 	Gebäude, Halle, selten auch im Freien (Freischach) 	
Schachboxen 	nein 	Mehrkampfsport 	1 		
Schlagball 	nein 	Schlagballspiel 	12 	Rasen 	
Schleuderball 	nein 	Torspiel 	8 	Rasen 	Deutschland
Schnorcheln 	nein 	Tauchsport 		Wasser 	
Schwierigkeitsklettern 	nein 	Klettern 		Halle, Gelände 	
Schwimmen 	ja (seit 1896) 	Geschwindigkeitssport 	1 	Wasser 	
Schwingen 	nein 	Kampfsport 	2 	Sägemehl 	Schweiz
Scoutball 	nein 	Torspiel 	5 und mehr 	Rasen 	
Scrabble 	nein 	Denksport 	2-4 		
Seesport 	nein 	Mehrkampfsport 	1 	Wasser 	
Segelfliegen 	nein 	Fliegen 	1 und mehr 	Luft 	
Segeln 	ja (seit 1900*) 	Bootssport 		Wasser 	
Seilklettern 	ehemalig (bis 1932*) 	Klettern 	1 	Halle 	Tschechien
Seilspringen 	nein 	Turnsport 	1 		
Sepak Takraw 	nein 	Rückschlagspiel, Akrobatik 			Südostasien
Shaolin Kempo 	nein 	Kampfsport 		Matte 	Niederlande
